index,Date,Local Site Name,AQS Parameter Description,County,mean_AQI,mean_long,mean_lat,month,year
0,2024-01-01,Bryson City,PM2.5,Swain,43.0,-83.442133,35.434767,1,2024
1,2024-01-01,Castle Hayne,PM2.5,New Hanover,44.5,-77.838611,34.364167,1,2024
2,2024-01-01,Clemmons Middle,PM2.5,Forsyth,47.5,-80.341962,36.026612,1,2024
3,2024-01-01,Durham Armory,PM2.5,Durham,61.0,-78.904037,36.0329550008979,1,2024
4,2024-01-01,Frying Pan Mountain,PM2.5,Haywood,14.0,-82.7925,35.379167,1,2024
5,2024-01-01,Garinger High School,Ozone,Mecklenburg,28.0,-80.785683,35.2401000008895,1,2024
6,2024-01-01,Garinger High School,PM2.5,Mecklenburg,42.0,-80.785683,35.2401000008895,1,2024
7,2024-01-01,Hattie Avenue,PM2.5,Forsyth,48.0,-80.224501,36.11094,1,2024
8,2024-01-01,Leggett,PM2.5,Edgecombe,38.0,-77.5843,35.988278,1,2024
9,2024-01-01,Linville Falls,PM2.5,Avery,14.0,-81.933072,35.972347,1,2024
10,2024-01-01,Mendenhall School,PM2.5,Guilford,53.0,-79.802314,36.1090060008986,1,2024
11,2024-01-01,Millbrook School,Ozone,Wake,25.0,-78.574167,35.856111,1,2024
12,2024-01-01,Millbrook School,PM2.5,Wake,61.5,-78.574167,35.856111,1,2024
13,2024-01-01,Old High School,PM2.5,Swain,23.0,-83.310242,35.498711,1,2024
14,2024-01-01,Pitt Agri. Center,PM2.5,Pitt,46.0,-77.360126,35.6412760008938,1,2024
15,2024-01-01,Rockwell,Ozone,Rowan,27.0,-80.395039,35.551868,1,2024
16,2024-01-01,Rockwell,PM2.5,Rowan,36.0,-80.395039,35.551868,1,2024
17,2024-01-01,West Johnston Co.,PM2.5,Johnston,46.0,-78.4622,35.59095,1,2024
18,2024-01-02,Bryson City,PM2.5,Swain,21.0,-83.442133,35.434767,1,2024
19,2024-01-02,Castle Hayne,PM2.5,New Hanover,20.5,-77.838611,34.364167,1,2024
20,2024-01-02,Clemmons Middle,PM2.5,Forsyth,37.0,-80.341962,36.026612,1,2024
21,2024-01-02,Durham Armory,PM2.5,Durham,49.0,-78.904037,36.0329550008979,1,2024
22,2024-01-02,Garinger High School,Ozone,Mecklenburg,23.0,-80.785683,35.2401000008895,1,2024
23,2024-01-02,Garinger High School,PM2.5,Mecklenburg,32.0,-80.785683,35.2401000008895,1,2024
24,2024-01-02,Hattie Avenue,PM2.5,Forsyth,33.0,-80.224501,36.11094,1,2024
25,2024-01-02,Leggett,PM2.5,Edgecombe,18.0,-77.5843,35.988278,1,2024
26,2024-01-02,Mendenhall School,PM2.5,Guilford,33.0,-79.802314,36.1090060008986,1,2024
27,2024-01-02,Millbrook School,Ozone,Wake,23.0,-78.574167,35.856111,1,2024
28,2024-01-02,Millbrook School,PM2.5,Wake,32.0,-78.574167,35.856111,1,2024
29,2024-01-02,Pitt Agri. Center,PM2.5,Pitt,12.0,-77.360126,35.6412760008938,1,2024
30,2024-01-02,Rockwell,Ozone,Rowan,26.0,-80.395039,35.551868,1,2024
31,2024-01-02,Rockwell,PM2.5,Rowan,24.0,-80.395039,35.551868,1,2024
32,2024-01-02,West Johnston Co.,PM2.5,Johnston,19.0,-78.4622,35.59095,1,2024
33,2024-01-03,Bryson City,PM2.5,Swain,34.0,-83.442133,35.434767,1,2024
34,2024-01-03,Castle Hayne,PM2.5,New Hanover,42.0,-77.838611,34.364167,1,2024
35,2024-01-03,Clemmons Middle,PM2.5,Forsyth,58.0,-80.341962,36.026612,1,2024
36,2024-01-03,Durham Armory,PM2.5,Durham,59.0,-78.904037,36.0329550008979,1,2024
37,2024-01-03,Garinger High School,Ozone,Mecklenburg,21.0,-80.785683,35.2401000008895,1,2024
38,2024-01-03,Garinger High School,PM2.5,Mecklenburg,52.0,-80.785683,35.2401000008895,1,2024
39,2024-01-03,Hattie Avenue,PM2.5,Forsyth,56.0,-80.224501,36.11094,1,2024
40,2024-01-03,Leggett,PM2.5,Edgecombe,41.0,-77.5843,35.988278,1,2024
41,2024-01-03,Mendenhall School,PM2.5,Guilford,55.0,-79.802314,36.1090060008986,1,2024
42,2024-01-03,Millbrook School,Ozone,Wake,21.0,-78.574167,35.856111,1,2024
43,2024-01-03,Millbrook School,PM2.5,Wake,54.0,-78.574167,35.856111,1,2024
44,2024-01-03,Pitt Agri. Center,PM2.5,Pitt,52.0,-77.360126,35.6412760008938,1,2024
45,2024-01-03,Rockwell,Ozone,Rowan,24.0,-80.395039,35.551868,1,2024
46,2024-01-03,Rockwell,PM2.5,Rowan,55.0,-80.395039,35.551868,1,2024
47,2024-01-03,West Johnston Co.,PM2.5,Johnston,54.0,-78.4622,35.59095,1,2024
48,2024-01-04,Bryson City,PM2.5,Swain,31.0,-83.442133,35.434767,1,2024
49,2024-01-04,Castle Hayne,PM2.5,New Hanover,50.5,-77.838611,34.364167,1,2024
50,2024-01-04,Clemmons Middle,PM2.5,Forsyth,32.0,-80.341962,36.026612,1,2024
51,2024-01-04,Durham Armory,PM2.5,Durham,55.0,-78.904037,36.0329550008979,1,2024
52,2024-01-04,Frying Pan Mountain,PM2.5,Haywood,16.0,-82.7925,35.379167,1,2024
53,2024-01-04,Garinger High School,Ozone,Mecklenburg,29.0,-80.785683,35.2401000008895,1,2024
54,2024-01-04,Garinger High School,PM2.5,Mecklenburg,33.0,-80.785683,35.2401000008895,1,2024
55,2024-01-04,Hattie Avenue,PM2.5,Forsyth,28.0,-80.224501,36.11094,1,2024
56,2024-01-04,Leggett,PM2.5,Edgecombe,38.0,-77.5843,35.988278,1,2024
